Student_ID,Age,Gender,Class,Study_Hours_Per_Day,Attendance_Percentage,Parental_Education,Internet_Access,Extracurricular_Activities,Math_Score,Science_Score,English_Score,Previous_Year_Score,Final_Percentage,Performance_Level,Pass_Fail
S0001,15,Male,12,1.0,65,Postgraduate,No,No,40,39,72,81,50.33,Average,Pass
S0002,19,Female,9,1.6,58,Graduate,No,Yes,80,44,35,47,53.0,Average,Pass
S0003,14,Female,12,3.6,64,High School,Yes,Yes,83,73,59,58,71.67,Good,Pass
S0004,18,Female,9,5.5,68,Postgraduate,Yes,No,68,48,77,54,64.33,Average,Pass
S0005,14,Male,10,5.0,80,High School,Yes,No,41,46,36,68,41.0,Poor,Fail
S0006,19,Male,12,5.2,82,High School,No,Yes,88,70,46,60,68.0,Good,Pass
S0007,16,Male,12,0.8,78,High School,No,No,75,69,64,84,69.33,Good,Pass
S0008,18,Female,11,2.0,81,Graduate,No,Yes,93,37,48,55,59.33,Average,Pass
S0009,18,Female,11,3.5,61,Graduate,No,No,55,39,83,71,59.0,Average,Pass
S0010,18,Male,10,5.7,97,High School,Yes,No,72,73,73,61,72.67,Good,Pass
S0011,14,Female,9,3.6,88,Graduate,Yes,No,95,85,69,41,83.0,Excellent,Pass
S0012,18,Female,9,5.7,74,Postgraduate,Yes,No,54,38,59,81,50.33,Average,Pass
S0013,19,Male,10,1.5,64,Postgraduate,Yes,Yes,35,95,37,85,55.67,Average,Pass
S0014,17,Female,10,5.5,76,Postgraduate,No,Yes,79,82,100,71,87.0,Excellent,Pass
S0015,15,Female,10,4.2,60,Postgraduate,No,Yes,55,57,80,72,64.0,Average,Pass
S0016,17,Male,12,5.0,67,Postgraduate,No,No,68,40,81,72,63.0,Average,Pass
S0017,16,Male,10,4.0,66,Graduate,No,Yes,49,59,96,63,68.0,Good,Pass
S0018,14,Female,9,5.0,89,High School,No,Yes,71,40,59,82,56.67,Average,Pass
S0019,14,Female,12,1.9,100,Postgraduate,No,No,45,85,74,61,68.0,Good,Pass
S0020,19,Male,11,3.6,66,High School,Yes,Yes,75,78,59,78,70.67,Good,Pass
S0021,15,Female,10,4.7,65,High School,No,Yes,46,80,70,46,65.33,Average,Pass
S0022,15,Male,12,2.8,83,Postgraduate,No,Yes,100,96,99,86,98.33,Excellent,Pass
S0023,19,Female,12,5.3,72,Postgraduate,No,No,72,40,63,76,58.33,Average,Pass
S0024,14,Female,10,4.6,54,High School,Yes,No,58,37,79,94,58.0,Average,Pass
S0025,17,Male,10,0.9,98,Postgraduate,Yes,No,61,53,38,48,50.67,Average,Pass
S0026,19,Female,9,5.1,78,Graduate,No,No,68,80,69,43,72.33,Good,Pass
S0027,19,Female,12,2.0,75,High School,No,No,56,79,52,94,62.33,Average,Pass
S0028,14,Male,12,0.9,91,Graduate,No,Yes,57,51,35,52,47.67,Poor,Fail
S0029,19,Female,12,4.3,87,Graduate,No,No,61,91,49,49,67.0,Good,Pass
S0030,16,Female,11,3.5,69,Graduate,Yes,Yes,81,68,42,57,63.67,Average,Pass
S0031,18,Female,9,1.8,85,Graduate,Yes,Yes,64,58,93,93,71.67,Good,Pass
S0032,17,Male,12,1.1,78,High School,No,No,47,81,87,52,71.67,Good,Pass
S0033,17,Male,10,1.4,58,High School,No,Yes,54,49,75,66,59.33,Average,Pass
S0034,17,Female,11,3.0,94,Graduate,No,No,56,51,45,61,50.67,Average,Pass
S0035,15,Female,12,2.3,79,Graduate,No,Yes,97,95,53,93,81.67,Excellent,Pass
S0036,18,Female,10,3.4,87,High School,No,No,95,86,35,68,72.0,Good,Pass
S0037,18,Female,10,3.9,54,Graduate,No,Yes,82,100,71,50,84.33,Excellent,Pass
S0038,18,Male,11,1.2,63,High School,Yes,Yes,65,56,73,89,64.67,Average,Pass
S0039,16,Male,11,1.7,97,Postgraduate,Yes,Yes,75,64,94,94,77.67,Good,Pass
S0040,17,Male,12,2.0,100,Graduate,Yes,Yes,68,38,88,59,64.67,Average,Pass
S0041,16,Male,10,5.2,95,Graduate,Yes,No,56,84,57,57,65.67,Average,Pass
S0042,19,Female,11,4.1,64,High School,No,Yes,62,82,95,78,79.67,Good,Pass
S0043,18,Male,12,4.5,56,High School,Yes,Yes,60,70,52,86,60.67,Average,Pass
S0044,16,Female,9,4.8,68,High School,Yes,Yes,37,76,98,44,70.33,Good,Pass
S0045,14,Female,10,3.4,91,Graduate,No,No,36,100,76,62,70.67,Good,Pass
S0046,14,Male,9,1.9,55,High School,No,No,87,37,55,46,59.67,Average,Pass
S0047,14,Male,10,2.6,96,Graduate,Yes,No,68,63,78,43,69.67,Good,Pass
S0048,19,Male,12,0.8,80,Graduate,Yes,Yes,46,49,92,83,62.33,Average,Pass
S0049,17,Male,12,1.0,63,High School,No,No,41,86,46,58,57.67,Average,Pass
S0050,14,Female,11,2.8,95,High School,No,No,44,83,83,93,70.0,Good,Pass
S0051,18,Male,11,1.3,69,High School,No,No,99,77,84,88,86.67,Excellent,Pass
S0052,18,Female,11,5.3,63,Graduate,Yes,Yes,82,63,72,55,72.33,Good,Pass
S0053,15,Male,11,4.7,76,High School,Yes,No,82,87,42,89,70.33,Good,Pass
S0054,17,Female,11,1.5,92,High School,Yes,No,57,75,86,81,72.67,Good,Pass
S0055,17,Female,11,5.3,80,Graduate,No,No,74,37,46,40,52.33,Average,Pass
S0056,15,Female,12,4.2,75,Graduate,Yes,No,86,71,79,58,78.67,Good,Pass
S0057,16,Female,12,3.9,97,Graduate,Yes,No,81,72,85,40,79.33,Good,Pass
S0058,19,Male,9,3.0,64,Postgraduate,No,Yes,66,57,69,86,64.0,Average,Pass
S0059,14,Male,12,3.6,90,Graduate,No,Yes,67,82,100,86,83.0,Excellent,Pass
S0060,17,Female,10,3.5,51,Postgraduate,Yes,Yes,68,74,81,68,74.33,Good,Pass
S0061,14,Male,9,4.0,82,Postgraduate,No,Yes,65,83,53,95,67.0,Good,Pass
S0062,17,Female,10,1.8,99,Postgraduate,No,No,78,35,91,65,68.0,Good,Pass
